name,url,country,iata,value,label,id
Twin Jet,twin-jet-tjt,fr,T7 ,Twin Jet (T7/TJT),Twin Jet (T7/TJT),771
Trans European Airways,trans-european-airways-tea,be,HE ,Trans European Airways (HE/TEA),Trans European Airways (HE/TEA),1225
Capitol Airways,capitol-airways-cap,us,CL ,Capitol Airways (CL/CAP),Capitol Airways (CL/CAP),1330
Pinnacle Airlines,pinnacle-airlines-flg,us,9E ,Pinnacle Airlines (9E/FLG),Pinnacle Airlines (9E/FLG),942
Lynden Air Cargo,lynden-air-cargo-lyc,us,L2 ,Lynden Air Cargo (L2/LYC),Lynden Air Cargo (L2/LYC),500
Mahan Airlines,mahan-airlines-irm,ir,W5 ,Mahan Airlines (W5/IRM),Mahan Airlines (W5/IRM),393
Iona National Airways,iona-national-airways-ind,ir,IN ,Iona National Airways (IN/IND),Iona National Airways (IN/IND),1151
Piedmont Airlines,piedmont-airlines-pdt,us,PI ,Piedmont Airlines (PI/PDT),Piedmont Airlines (PI/PDT),1224
Freedom Airlines,freedom-airlines-fdm,us,F8 ,Freedom Airlines (F8/FDM),Freedom Airlines (F8/FDM),299
Aerolineas Dominicanas,aerolineas-dominicanas-adm,do,YU ,Aerolineas Dominicanas (YU/ADM),Aerolineas Dominicanas (YU/ADM),19
MasAir,masair-maa,mx,M7 ,MasAir (M7/MAA),MasAir (M7/MAA),503
MASwings,maswings-mwg,my,MH ,MASwings (MH/MWG),MASwings (MH/MWG),1517
Air Europe,air-europe-uk-ael,gb,AE ,Air Europe (AE/AEL),Air Europe (AE/AEL),1580
Olympic Airways,olympic-airways-oal,gr,OA ,Olympic Airways (OA/OAL),Olympic Airways (OA/OAL),1338
Olympic Airlines,olympic-airlines-oal,gr,OA ,Olympic Airlines (OA/OAL),Olympic Airlines (OA/OAL),1339
EuroAtlantic Airways,euroatlantic-airways-mmz,pt,MM ,EuroAtlantic Airways (MM/MMZ),EuroAtlantic Airways (MM/MMZ),522
Mesaba Aviation,mesaba-aviation-mes,us,XJ ,Mesaba Aviation (XJ/MES),Mesaba Aviation (XJ/MES),517
MAXjet Airways,maxjet-airways-mxj,us,MY ,MAXjet Airways (MY/MXJ),MAXjet Airways (MY/MXJ),1441
RWL Flight Academy,rwl-flight-academy-na0,de,   ,RWL Flight Academy (/NA0),RWL Flight Academy (/NA0),1553
Maya Island Air,maya-island-air-myd,bz,MW ,Maya Island Air (MW/MYD),Maya Island Air (MW/MYD),545
Nigeria Airways,nigeria-airways-nga,ng,WT ,Nigeria Airways (WT/NGA),Nigeria Airways (WT/NGA),561
Mesa Airlines,mesa-airlines-ash,us,YV ,Mesa Airlines (YV/ASH),Mesa Airlines (YV/ASH),81
Go!,go-ash,us,YV ,Go! (YV/ASH),Go! (YV/ASH),1254
Paramount Airways,paramount-airways-pmw,in,I7 ,Paramount Airways (I7/PMW),Paramount Airways (I7/PMW),1408
Australia Asia Airlines,australia-asia-airlines-aau,au,IM ,Australia Asia Airlines (IM/AAU),Australia Asia Airlines (IM/AAU),1515
Primera Air,primera-air-pri,is,PF ,Primera Air (PF/PRI),Primera Air (PF/PRI),1202
Zimex Aviation Limited,zimex-aviation-limited-imx,ch,C4 ,Zimex Aviation Limited (C4/IMX),Zimex Aviation Limited (C4/IMX),387
Virgin America,virgin-america-vrd,us,VX ,Virgin America (VX/VRD),Virgin America (VX/VRD),1129
Brymon Airways,brymon-airways-bry,gb,BC ,Brymon Airways (BC/BRY),Brymon Airways (BC/BRY),1209
PSA Airlines,psa-airlines-jia,us,US ,PSA Airlines (US/JIA),PSA Airlines (US/JIA),1237
Moskovia Airlines,moskovia-airlines-gai,ru,3R ,Moskovia Airlines (3R/GAI),Moskovia Airlines (3R/GAI),1512
Avia Air,avia-air-arb,aw,3R ,Avia Air (3R/ARB),Avia Air (3R/ARB),884
Minerva Airlines,minerva-airlines-mtc,it,N4 ,Minerva Airlines (N4/MTC),Minerva Airlines (N4/MTC),537
National Airlines,national-airlines-nal,us,NA ,National Airlines (NA/NAL),National Airlines (NA/NAL),1519
North American Airlines,north-american-airlines-nao,us,NA ,North American Airlines (NA/NAO),North American Airlines (NA/NAO),551
Ryanair,ryanair-ryr,ie,FR ,Ryanair (FR/RYR),Ryanair (FR/RYR),668
Northern Air Cargo,northern-air-cargo-nac,us,NC ,Northern Air Cargo (NC/NAC),Northern Air Cargo (NC/NAC),550
Transavia.com France,transavia-france-tvf,fr,TO ,Transavia.com France (TO/TVF),Transavia.com France (TO/TVF),1397
Air Nauru,air-nauru-ron,nr,ON ,Air Nauru (ON/RON),Air Nauru (ON/RON),654
Nationwide Airlines,nationwide-airlines-ntw,za,CE ,Nationwide Airlines (CE/NTW),Nationwide Airlines (CE/NTW),571
Air Atlantis,air-atlantis-aia,pt,EJ ,Air Atlantis (EJ/AIA),Air Atlantis (EJ/AIA),1524
Air Express,air-express-aej,tz,ZG ,Air Express (ZG/AEJ),Air Express (ZG/AEJ),26
Zhez Air,zhez-air-kzh,kz,   ,Zhez Air (/KZH),Zhez Air (/KZH),1530
Lydd Air,lydd-air-lyd,gb,   ,Lydd Air (/LYD),Lydd Air (/LYD),1177
Nordic Airways,nordic-airways-nrd,se,6N ,Nordic Airways (6N/NRD),Nordic Airways (6N/NRD),1084
Air Uganda,air-uganda-uga,ug,U7 ,Air Uganda (U7/UGA),Air Uganda (U7/UGA),1283
Northern Dene Airways,northern-dene-airways-nka,ca,U7 ,Northern Dene Airways (U7/NKA),Northern Dene Airways (U7/NKA),564
Palestinian Airlines,palestinian-airlines-pnw,eg,PF ,Palestinian Airlines (PF/PNW),Palestinian Airlines (PF/PNW),620
Nationwide Airlines Zambia,nationwide-airlines-zambia-nwz,zm,4J ,Nationwide Airlines Zambia (4J/NWZ),Nationwide Airlines Zambia (4J/NWZ),1002
Bundy Air Charter,bundy-air-charter-yy0,au,YY ,Bundy Air Charter (YY/YY0),Bundy Air Charter (YY/YY0),1462
Avioimpex,avioimpex-axx,mk,M4 ,Avioimpex (M4/AXX),Avioimpex (M4/AXX),104
OAG Worldwide,oag-worldwide-abc,gb,CR ,OAG Worldwide (CR/ABC),OAG Worldwide (CR/ABC),7
Nas Air,nas-air-kne,sa,XY ,Nas Air (XY/KNE),Nas Air (XY/KNE),1545
Jet Air,jet-air-jea,pl,O2 ,Jet Air (O2/JEA),Jet Air (O2/JEA),1099
Oman Air,oman-air-oma,om,WY ,Oman Air (WY/OMA),Oman Air (WY/OMA),579
Oy Soder Air,oy-soder-air-sde,fi,OY ,Oy Soder Air (OY/SDE),Oy Soder Air (OY/SDE),686
Overland Airways,overland-airways-ola,ng,OJ ,Overland Airways (OJ/OLA),Overland Airways (OJ/OLA),586
