name,url,country,iata,lon,value,label,icao,lat,id
San Francisco / San Francisco International,san-francisco-san-francisco-international-ksfo,us,SFO,-122.374889,San Francisco / San Francisco International (SFO/KSFO),San Francisco / San Francisco International (SFO/KSFO),KSFO,37.618972,2644
San Joaquin / San Joaquin,san-joaquin-san-joaquin-sljo,bo,SJB,-64.661667,San Joaquin / San Joaquin (SJB/SLJO),San Joaquin / San Joaquin (SJB/SLJO),SLJO,-13.052778,2679
San Jose / Juan Santamaria,san-jose-juan-santamaria-mroc,cr,SJO,-84.208917,San Jose / Juan Santamaria (SJO/MROC),San Jose / Juan Santamaria (SJO/MROC),MROC,9.993861,2686
San Jose / San Jose,san-jose-san-jose-ksjc,us,SJC,-121.929111,San Jose / San Jose (SJC/KSJC),San Jose / San Jose (SJC/KSJC),KSJC,37.362667,2680
San Jose / Tobias Bolanos,san-jose-tobias-bolanos-mrpv,cr,SYQ,-84.139444,San Jose / Tobias Bolanos (SYQ/MRPV),San Jose / Tobias Bolanos (SYQ/MRPV),MRPV,9.957222,4989
San Jose De Buena Vista / Antique,san-jose-de-buena-vista-antique-rpvs,ph,SJI,121.933439,San Jose De Buena Vista / Antique (SJI/RPVS),San Jose De Buena Vista / Antique (SJI/RPVS),RPVS,10.766044,2683
San Jose Del Cabo / Los Cabos,san-jose-del-cabo-los-cabos-mmsd,mx,SJD,-109.720556,San Jose Del Cabo / Los Cabos (SJD/MMSD),San Jose Del Cabo / Los Cabos (SJD/MMSD),MMSD,23.151944,2681
San Jose Del Guaviare / Jorge E. G. Torres,san-jose-del-guaviare-jorge-e-g-torres-sksj,co,SJE,-72.639444,San Jose Del Guaviare / Jorge E. G. Torres (SJE/SKSJ),San Jose Del Guaviare / Jorge E. G. Torres (SJE/SKSJ),SKSJ,2.578611,2682
San Juan / Fernando Luis Ribas,san-juan-fernando-luis-ribas-tjig,pr,SIG,-66.098833,San Juan / Fernando Luis Ribas (SIG/TJIG),San Juan / Fernando Luis Ribas (SIG/TJIG),TJIG,18.45675,2669
San Juan / Luis Munoz Marin Int,san-juan-luis-munoz-marin-int-tjsj,pr,SJU,-66.001833,San Juan / Luis Munoz Marin Int (SJU/TJSJ),San Juan / Luis Munoz Marin Int (SJU/TJSJ),TJSJ,18.439417,2689
San Juan / San Juan,san-juan-san-juan-sanu,ar,UAQ,-68.418194,San Juan / San Juan (UAQ/SANU),San Juan / San Juan (UAQ/SANU),SANU,-31.571472,3069
San Julian / San Julian,san-julian-san-julian-sawj,ar,ULA,-67.801667,San Julian / San Julian (ULA/SAWJ),San Julian / San Julian (ULA/SAWJ),SAWJ,-49.31,3089
San Luis / San Luis,san-luis-san-luis-saou,ar,LUQ,-66.356422,San Luis / San Luis (LUQ/SAOU),San Luis / San Luis (LUQ/SAOU),SAOU,-33.273192,1713
San Luis Obispo / San Luis Obispo County Regional,san-luis-obispo-san-luis-obispo-county-regional-ksbp,us,SBP,-120.642,San Luis Obispo / San Luis Obispo County Regional (SBP/KSBP),San Luis Obispo / San Luis Obispo County Regional (SBP/KSBP),KSBP,35.23726,4521
San Luis Potosi / San Luis Potosi,san-luis-potosi-san-luis-potosi-mmsp,mx,SLP,-100.930761,San Luis Potosi / San Luis Potosi (SLP/MMSP),San Luis Potosi / San Luis Potosi (SLP/MMSP),MMSP,22.254261,2712
San Pedro / San Pedro,san-pedro-san-pedro-disp,ci,SPY,-6.660222,San Pedro / San Pedro (SPY/DISP),San Pedro / San Pedro (SPY/DISP),DISP,4.7475,2759
San Pedro Sula / La Mesa,san-pedro-sula-la-mesa-mhlm,hn,SAP,-87.923556,San Pedro Sula / La Mesa (SAP/MHLM),San Pedro Sula / La Mesa (SAP/MHLM),MHLM,15.452639,2590
San Rafael / San Rafael,san-rafael-san-rafael-samr,ar,AFA,-68.402678,San Rafael / San Rafael (AFA/SAMR),San Rafael / San Rafael (AFA/SAMR),SAMR,-34.588089,56
San Salvador / El Salvador,san-salvador-el-salvador-mslp,sv,SAL,-89.055753,San Salvador / El Salvador (SAL/MSLP),San Salvador / El Salvador (SAL/MSLP),MSLP,13.440939,2588
